lat,lon,doc,id
41.5132,-87.6926,1,1332
41.5133,-87.2588,1,1333
41.5134,-88.15848,1,1334
41.5134,-87.9677,1,1335
41.5138,-87.868,1,1336
41.51416,-87.7333,1,1337
41.51424,-87.25893,1,1338
41.5145,-87.849,2,1339
41.51455,-87.84894,1,1340
41.5146,-87.7263,1,1341
41.5146,-87.2607,1,1342
41.5147,-87.2594,1,1343
41.51512,-87.85156,1,1344
41.5152,-88.1686,1,1345
41.5154,-87.3454,1,1346
41.5165,-87.9664,3,1347
41.51675,-88.1833,1,1348
41.5168,-87.3357,1,1349
41.5169,-87.4728,1,1350
41.5172,-87.9751,2,1351
41.51749,-87.98085,1,1352
41.5175,-87.9808,1,1353
41.5177,-87.3356,2,1354
41.5178,-87.4681,2,1355
41.51809,-87.85053,1,1356
41.5181,-87.8505,3,1357
41.5184,-87.3357,1,1358
41.5186,-87.7138,1,1359
41.51993,-87.51694,1,1360
41.5201,-87.8035,4,1361
41.5202,-87.7124,3,1362
41.52025,-87.71237,2,1363
41.5206,-87.7071,30,1364
41.52063,-87.70714,5,1365
41.52065,-87.71323,2,1366
41.52069,-87.70599,2,1367
41.5209,-88.1478,8,1368
41.52097,-87.99718,2,1369
41.521,-87.669,1,1370
41.5211,-87.6525,5,1371
41.5212,-88.2037,4,1372
41.52144,-88.20683,1,1373
41.52147,-88.20331,2,1374
41.5215,-88.1819,2,1375
41.5215,-87.2518,1,1376
41.5216,-88.1423,1,1377
41.52167,-87.68103,2,1378
41.5218,-88.1728,3,1379
41.5218,-87.6556,4,1380
41.5219,-88.1239,5,1381
41.522,-88.2162,1,1382
41.522,-87.7103,12,1383
41.52205,-88.15646,2,1384
41.5221,-88.1505,2,1385
41.52212,-88.14904,1,1386
41.5222,-88.1505,1,1387
41.5222,-88.0822,1,1388
41.52224,-87.50828,8,1389
41.5223,-88.1992,1,1390
41.5223,-87.712,3,1391
41.52236,-88.13356,1,1392
41.5224,-88.2046,2,1393
41.5224,-87.5068,6,1394
41.52242,-87.50674,2,1395
41.5226,-88.1564,2,1396
41.5226,-88.15055,1,1397
41.52267,-88.15727,1,1398
41.5227,-88.1573,4,1399
41.52286,-87.7113,3,1400
41.5229,-88.1135,1,1401
41.5229,-87.7113,61,1402
41.5229,-87.472,1,1403
41.52317,-88.1056,1,1404
41.52338,-87.65296,1,1405
41.5235,-87.8518,2,1406
41.5237,-88.118,2,1407
41.5238,-88.1338,1,1408
41.524,-87.7033,1,1409
41.5242,-87.7021,2,1410
41.5243,-87.6541,2,1411
41.52468,-87.71242,1,1412
41.5247,-88.134,2,1413
41.52488,-88.13319,1,1414
41.52501,-88.13191,1,1415
41.5251,-88.1396,1,1416
41.52526,-88.13192,1,1417
41.5253,-88.1315,1,1418
41.5254,-88.1328,3,1419
41.5254,-87.4825,1,1420
41.5254,-87.4705,1,1421
41.52546,-88.14284,2,1422
41.5255,-88.1428,4,1423
41.5256,-87.8912,2,1424
41.52567,-87.70285,1,1425
41.5257,-88.1312,1,1426
41.5257,-87.7029,5,1427
41.52572,-88.13122,2,1428
41.5262,-88.1314,7,1429
41.5264,-88.1323,3,1430
41.5265,-88.1241,1,1431
41.5265,-88.1236,3,1432
41.5267,-88.1243,1,1433
41.5267,-87.7005,3,1434
41.52686,-87.65352,1,1435
41.52688,-87.697,1,1436
41.5269,-88.1326,5,1437
41.527,-88.1358,25,1438
41.52701,-88.13582,2,1439
41.52716,-87.71399,2,1440
41.5272,-87.714,10,1441
41.5273,-88.1324,1,1442
41.5273,-87.8913,1,1443
41.5273,-87.6956,1,1444
41.5273,-87.6515,1,1445
41.5273,-87.3363,1,1446
41.52732,-87.69494,1,1447
41.5274,-87.7015,1,1448
41.5275,-87.6577,2,1449
41.5276,-88.1362,51,1450
41.5276,-88.13616,1,1451
41.52761,-88.132,1,1452
41.5279,-88.1428,2,1453
41.5279,-88.1388,1,1454
41.5279,-88.1381,1,1455
41.5279,-88.1317,3,1456
41.52795,-88.13463,1,1457
41.52802,-88.13464,2,1458
41.5281,-88.0741,1,1459
41.5281,-87.6564,3,1460
41.5282,-88.1417,1,1461
41.5283,-87.8889,2,1462
41.5284,-88.1315,3,1463
41.5284,-87.689,1,1464
41.5285,-87.6954,4,1465
41.5287,-88.1327,24,1466
41.52876,-87.69745,1,1467
41.5288,-88.1425,1,1468
41.529,-88.1315,7,1469
41.5291,-88.1342,17,1470
41.5291,-87.4272,1,1471
41.5293,-87.3365,2,1472
41.52949,-87.64145,1,1473
41.5295,-87.5106,9,1474
41.5296,-87.6368,1,1475
41.52964,-88.13471,7,1476
41.5297,-87.6968,4,1477
41.5299,-88.1418,2,1478
41.53,-88.1351,1,1479
41.53,-88.1241,1,1480
41.53,-88.1239,1,1481
41.53,-88.0828,3,1482
41.5301,-87.6966,3,1483
41.5303,-88.1242,3,1484
41.5306,-87.8889,1,1485
41.5307,-87.8889,2,1486
41.53075,-87.51061,1,1487
41.53078,-87.50967,1,1488
41.5308,-87.3365,1,1489
41.5312,-87.697,1,1490
41.53134,-87.6969,1,1491
41.53145,-87.33579,1,1492
41.53179,-87.47932,1,1493
41.5324,-87.6971,1,1494
41.5326,-87.8496,2,1495
41.53267,-87.8496,17,1496
41.5327,-87.8496,1,1497
41.53276,-87.85047,1,1498
41.5328,-87.8503,10,1499
41.5329,-87.6951,4,1500
